PER/DCOMP;Tipo de documento;Data de transmissão;Situação;Vl. Total Crédito;Vl. Crédito Dt. Transmissão;Créd. Orig. Necessário Débitos DCOMP ou Valor do PER;Retificado/Cancelado por;Detalhado em PER/DCOMP Anterior;PER/DCOMP inicial
38969.03162.110523.1.7.02-7973;Decl. Compensação;11/05/2023;Análise concluída;765.070,91;17.338,00;376,74;;20539.00835.190722.1.2.02-0696;20539.00835.190722.1.2.02-0696
33697.13236.310822.1.1.19-3460;Pedido Ressarcimento;31/08/2022;Retificado;2.382,96;2.382,96;2.382,96;39954.23419.080922.1.5.19-3042;;33697.13236.310822.1.1.19-3460
39954.23419.080922.1.5.19-3042;Pedido Ressarcimento;08/09/2022;Análise concluída;6.391,33;6.391,33;6.391,33;;;33697.13236.310822.1.1.19-3460
19928.57955.310822.1.1.19-9595;Pedido Ressarcimento;31/08/2022;Cancelado;4.008,37;4.008,37;4.008,37;32905.28089.080922.1.8.19-9846;;33697.13236.310822.1.1.19-3460
32905.28089.080922.1.8.19-9846;Pedido Cancelamento;08/09/2022;Pedido de cancelamento deferido;0,00;0,00;0,00;;;33697.13236.310822.1.1.19-3460
26533.44020.310822.1.1.18-8510;Pedido Ressarcimento;31/08/2022;Retificado;518,38;518,38;518,38;12328.54224.080922.1.5.18-0309;;26533.44020.310822.1.1.18-8510
12328.54224.080922.1.5.18-0309;Pedido Ressarcimento;08/09/2022;Análise concluída;1.390,22;1.390,22;1.390,22;;;26533.44020.310822.1.1.18-8510
36739.71658.310822.1.1.18-3050;Pedido Ressarcimento;31/08/2022;Cancelado;871,84;871,84;871,84;10229.60648.080922.1.8.18-0268;;26533.44020.310822.1.1.18-8510
10229.60648.080922.1.8.18-0268;Pedido Cancelamento;08/09/2022;Pedido de cancelamento deferido;0,00;0,00;0,00;;;26533.44020.310822.1.1.18-8510
08538.50454.191022.1.2.03-0008;Pedido Restituição;19/10/2022;Retificado;109.339,71;109.339,71;109.339,71;06586.73453.100223.1.6.03-8902;;08538.50454.191022.1.2.03-0008
06586.73453.100223.1.6.03-8902;Pedido Restituição;10/02/2023;Análise concluída;104.037,85;104.037,85;104.037,85;;;08538.50454.191022.1.2.03-0008
09792.57973.111122.1.3.03-3891;Decl. Compensação;11/11/2022;Cancelado;109.339,71;109.339,71;28.924,18;39836.60626.191222.1.8.03-0627;08538.50454.191022.1.2.03-0008;08538.50454.191022.1.2.03-0008
39836.60626.191222.1.8.03-0627;Pedido Cancelamento;19/12/2022;Pedido de cancelamento deferido;0,00;0,00;0,00;;08538.50454.191022.1.2.03-0008;08538.50454.191022.1.2.03-0008
15875.55682.231122.1.3.03-4069;Decl. Compensação;23/11/2022;Análise concluída;109.339,71;80.415,53;37.058,39;;08538.50454.191022.1.2.03-0008;08538.50454.191022.1.2.03-0008
31534.61866.201222.1.3.03-0974;Decl. Compensação;20/12/2022;Retificado;109.339,71;72.281,32;72.281,32;29442.37903.100223.1.7.03-9426;08538.50454.191022.1.2.03-0008;08538.50454.191022.1.2.03-0008
29442.37903.100223.1.7.03-9426;Decl. Compensação;10/02/2023;Análise concluída;109.339,71;72.281,32;66.979,46;;08538.50454.191022.1.2.03-0008;08538.50454.191022.1.2.03-0008
38107.37891.191022.1.2.02-2509;Pedido Restituição;19/10/2022;Retificado;764.009,53;764.009,53;764.009,53;28359.24851.100223.1.6.02-0033;;38107.37891.191022.1.2.02-2509
28359.24851.100223.1.6.02-0033;Pedido Restituição;10/02/2023;Análise concluída;767.364,20;767.364,20;767.364,20;;;38107.37891.191022.1.2.02-2509
09887.65116.201022.1.3.02-4055;Decl. Compensação;20/10/2022;Análise concluída;764.009,53;764.009,53;99.965,48;;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
30684.74089.201022.1.3.02-6699;Decl. Compensação;20/10/2022;Análise concluída;764.009,53;664.044,05;313.149,38;;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
16661.08475.201022.1.3.02-0516;Decl. Compensação;20/10/2022;Análise concluída;764.009,53;350.894,67;2.240,61;;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
02232.43721.081122.1.3.02-9558;Decl. Compensação;08/11/2022;Análise concluída;764.009,53;348.654,06;2.599,88;;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
15354.83650.111122.1.3.02-0810;Decl. Compensação;11/11/2022;Retificado;764.009,53;346.054,18;346.054,18;30930.13645.171122.1.7.02-7008;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
30930.13645.171122.1.7.02-7008;Decl. Compensação;17/11/2022;Cancelado;764.009,53;346.054,18;223.041,34;04553.51328.191222.1.8.02-5172;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
04553.51328.191222.1.8.02-5172;Pedido Cancelamento;19/12/2022;Pedido de cancelamento deferido;0,00;0,00;0,00;;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
20714.66260.181122.1.3.02-2043;Decl. Compensação;18/11/2022;Análise concluída;764.009,53;123.012,84;123.012,84;;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
37830.75868.201222.1.3.02-2944;Decl. Compensação;20/12/2022;Análise concluída;764.009,53;223.041,34;223.041,34;;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
18726.22964.200624.1.3.02-8372;Decl. Compensação;20/06/2024;Análise concluída;767.364,20;3.354,67;3.354,67;;38107.37891.191022.1.2.02-2509;38107.37891.191022.1.2.02-2509
04523.52411.241022.1.1.18-4001;Pedido Ressarcimento;24/10/2022;Retificado;11.849,97;11.849,97;11.849,97;27430.56540.281222.1.5.18-5472;;04523.52411.241022.1.1.18-4001
27430.56540.281222.1.5.18-5472;Pedido Ressarcimento;28/12/2022;Em análise;1.555,53;1.555,53;1.555,53;;;04523.52411.241022.1.1.18-4001
06206.84547.241022.1.1.19-2707;Pedido Ressarcimento;24/10/2022;Retificado;54.489,59;54.489,59;54.489,59;07740.14532.281222.1.5.19-9557;;06206.84547.241022.1.1.19-2707
07740.14532.281222.1.5.19-9557;Pedido Ressarcimento;28/12/2022;Em análise;7.152,00;7.152,00;7.152,00;;;06206.84547.241022.1.1.19-2707
20371.00042.231020.1.3.03-0663;Decl. Compensação;23/10/2020;Retificado;55.357,51;55.357,51;55.357,51;09971.65884.231122.1.7.03-0687;;20371.00042.231020.1.3.03-0663
09971.65884.231122.1.7.03-0687;Decl. Compensação;23/11/2022;Análise concluída;121.523,95;121.523,95;55.357,51;;;20371.00042.231020.1.3.03-0663
29018.94632.251122.1.3.03-0204;Decl. Compensação;25/11/2022;Análise concluída;121.523,95;66.166,44;3.055,17;;20371.00042.231020.1.3.03-0663;20371.00042.231020.1.3.03-0663
33402.37259.251122.1.2.03-7035;Pedido Restituição;25/11/2022;Análise concluída;121.523,95;63.527,29;63.527,29;;20371.00042.231020.1.3.03-0663;20371.00042.231020.1.3.03-0663
15553.54945.250719.1.3.02-5275;Decl. Compensação;25/07/2019;Retificado;968.392,87;968.392,87;395.787,70;12883.13294.231122.1.7.02-4016;;15553.54945.250719.1.3.02-5275
12883.13294.231122.1.7.02-4016;Decl. Compensação;23/11/2022;Em análise;1.147.777,45;1.147.777,45;395.787,70;;;15553.54945.250719.1.3.02-5275
25430.04446.230819.1.3.02-8528;Decl. Compensação;23/08/2019;Retificado;968.392,87;572.605,17;572.605,17;26888.34771.231122.1.7.02-0015;15553.54945.250719.1.3.02-5275;15553.54945.250719.1.3.02-5275
26888.34771.231122.1.7.02-0015;Decl. Compensação;23/11/2022;Em análise;1.147.777,45;751.989,75;572.605,17;;15553.54945.250719.1.3.02-5275;15553.54945.250719.1.3.02-5275
12739.72509.251122.1.3.02-7691;Decl. Compensação;25/11/2022;Em análise;1.147.777,45;179.384,58;179.317,61;;15553.54945.250719.1.3.02-5275;15553.54945.250719.1.3.02-5275
14464.88341.251122.1.2.02-6724;Pedido Restituição;25/11/2022;Em análise;1.147.777,45;66,97;66,97;;25430.04446.230819.1.3.02-8528;15553.54945.250719.1.3.02-5275
02465.64322.281122.1.3.03-9211;Decl. Compensação;28/11/2022;Retificado;81.708,93;81.708,93;6.729,89;04414.76896.070223.1.7.03-9923;;02465.64322.281122.1.3.03-9211
04414.76896.070223.1.7.03-9923;Decl. Compensação;07/02/2023;Análise concluída;81.708,93;81.708,93;6.729,89;;;02465.64322.281122.1.3.03-9211
08403.07753.291122.1.2.03-9040;Pedido Restituição;29/11/2022;Análise concluída;81.708,93;74.979,04;74.979,04;;02465.64322.281122.1.3.03-9211;02465.64322.281122.1.3.03-9211
03155.58217.250123.1.2.03-3352;Pedido Restituição;25/01/2023;Análise concluída;157.068,55;157.068,55;157.068,55;;;03155.58217.250123.1.2.03-3352
07868.87065.250123.1.3.03-8371;Decl. Compensação;25/01/2023;Análise concluída;157.068,55;157.068,55;116.814,24;;03155.58217.250123.1.2.03-3352;03155.58217.250123.1.2.03-3352
12041.21843.100223.1.3.03-9006;Decl. Compensação;10/02/2023;Análise concluída;157.068,55;40.254,32;6.381,03;;03155.58217.250123.1.2.03-3352;03155.58217.250123.1.2.03-3352
23415.13394.160523.1.3.03-7378;Decl. Compensação;16/05/2023;Análise concluída;157.068,55;33.873,29;29.239,11;;03155.58217.250123.1.2.03-3352;03155.58217.250123.1.2.03-3352
00209.13596.200623.1.3.03-5094;Decl. Compensação;20/06/2023;Análise concluída;157.068,55;4.634,18;4.634,18;;03155.58217.250123.1.2.03-3352;03155.58217.250123.1.2.03-3352
30692.03765.250123.1.2.02-1860;Pedido Restituição;25/01/2023;Em análise;966.919,68;966.919,68;966.919,68;;;30692.03765.250123.1.2.02-1860
06704.14188.230223.1.3.02-4497;Decl. Compensação;23/02/2023;Em análise;966.919,68;966.919,68;70.026,42;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
40689.94056.270223.1.3.02-4627;Decl. Compensação;27/02/2023;Retificado;966.919,68;896.893,26;8.711,38;11935.63113.120623.1.7.02-1707;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
11935.63113.120623.1.7.02-1707;Decl. Compensação;12/06/2023;Em análise;966.919,68;896.893,26;8.684,21;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
12401.64415.160323.1.3.02-9878;Decl. Compensação;16/03/2023;Retificado;966.919,68;888.181,88;227.901,95;09979.21514.210323.1.7.02-0499;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
09979.21514.210323.1.7.02-0499;Decl. Compensação;21/03/2023;Retificado;966.919,68;888.181,88;227.822,01;34318.49007.240323.1.7.02-8197;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
34318.49007.240323.1.7.02-8197;Decl. Compensação;24/03/2023;Em análise;966.919,68;888.181,88;227.941,72;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
31566.87038.160323.1.3.02-0608;Decl. Compensação;16/03/2023;Retificado;966.919,68;660.279,93;44.541,24;29471.10161.210323.1.7.02-2060;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
29471.10161.210323.1.7.02-2060;Decl. Compensação;21/03/2023;Retificado;966.919,68;660.359,87;44.541,24;15441.82777.240323.1.7.02-1999;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
15441.82777.240323.1.7.02-1999;Decl. Compensação;24/03/2023;Em análise;966.919,68;660.240,16;44.541,24;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
11077.99355.140423.1.3.02-8238;Decl. Compensação;14/04/2023;Retificado;966.919,68;615.698,92;912,39;15102.62614.120623.1.7.02-5017;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
15102.62614.120623.1.7.02-5017;Decl. Compensação;12/06/2023;Em análise;966.919,68;615.698,92;902,52;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
42885.16936.180423.1.3.02-7761;Decl. Compensação;18/04/2023;Em análise;966.919,68;614.786,54;2.004,76;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
21483.87889.180423.1.3.02-1803;Decl. Compensação;18/04/2023;Em análise;966.919,68;612.781,78;124.478,07;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
03759.02590.190423.1.3.02-3413;Decl. Compensação;19/04/2023;Cancelado;966.919,68;488.303,71;6.215,54;35360.38033.190423.1.8.02-0295;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
35360.38033.190423.1.8.02-0295;Pedido Cancelamento;19/04/2023;Pedido de cancelamento deferido;0,00;0,00;0,00;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
41307.45849.250423.1.3.02-9507;Decl. Compensação;25/04/2023;Retificado;966.919,68;482.088,17;317.278,65;05858.40285.260423.1.7.02-0920;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
05858.40285.260423.1.7.02-0920;Decl. Compensação;26/04/2023;Retificado;966.919,68;488.303,71;317.278,65;32324.20430.050623.1.7.02-1217;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
32324.20430.050623.1.7.02-1217;Decl. Compensação;05/06/2023;Em análise;966.919,68;488.303,71;317.275,41;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
07564.00319.160523.1.3.02-9951;Decl. Compensação;16/05/2023;Retificado;966.919,68;171.025,06;152.711,33;22860.20232.090623.1.7.02-3335;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
22860.20232.090623.1.7.02-3335;Decl. Compensação;09/06/2023;Retificado;966.919,68;171.028,31;152.711,33;09460.46595.120623.1.7.02-8005;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
09460.46595.120623.1.7.02-8005;Decl. Compensação;12/06/2023;Em análise;966.919,68;171.065,35;152.711,33;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
01295.96790.050623.1.3.02-0259;Decl. Compensação;05/06/2023;Retificado;966.919,68;18.316,98;3.957,75;34450.81450.050623.1.7.02-0008;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
34450.81450.050623.1.7.02-0008;Decl. Compensação;05/06/2023;Cancelado;966.919,68;18.316,98;3.926,53;16465.84908.090623.1.8.02-0532;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
16465.84908.090623.1.8.02-0532;Pedido Cancelamento;09/06/2023;Pedido de cancelamento deferido;0,00;0,00;0,00;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
30864.65491.200623.1.3.02-2722;Decl. Compensação;20/06/2023;Em análise;966.919,68;18.354,02;8.188,31;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
30060.34316.200623.1.3.02-0960;Decl. Compensação;20/06/2023;Em análise;966.919,68;10.165,71;10.165,71;;30692.03765.250123.1.2.02-1860;30692.03765.250123.1.2.02-1860
00244.97423.090523.1.2.03-4134;Pedido Restituição;09/05/2023;Análise concluída;86.582,93;86.582,93;86.582,93;;;00244.97423.090523.1.2.03-4134
10394.91272.200623.1.3.03-0948;Decl. Compensação;20/06/2023;Análise concluída;86.582,93;86.582,93;86.582,93;;00244.97423.090523.1.2.03-4134;00244.97423.090523.1.2.03-4134
23101.23751.090523.1.2.02-0706;Pedido Restituição;09/05/2023;Análise concluída;474.232,31;474.232,31;474.232,31;;;23101.23751.090523.1.2.02-0706
25114.18091.160523.1.3.02-8303;Decl. Compensação;16/05/2023;Análise concluída;474.232,31;474.232,31;111.399,78;;23101.23751.090523.1.2.02-0706;23101.23751.090523.1.2.02-0706
32977.21670.190623.1.3.02-4400;Decl. Compensação;19/06/2023;Cancelado;474.232,31;362.832,53;193.875,55;18550.71645.200623.1.8.02-2958;23101.23751.090523.1.2.02-0706;23101.23751.090523.1.2.02-0706
18550.71645.200623.1.8.02-2958;Pedido Cancelamento;20/06/2023;Pedido de cancelamento deferido;0,00;0,00;0,00;;23101.23751.090523.1.2.02-0706;23101.23751.090523.1.2.02-0706
23933.40635.200623.1.3.02-5965;Decl. Compensação;20/06/2023;Retificado;474.232,31;65.030,39;65.030,39;11839.51887.210623.1.7.02-7856;23101.23751.090523.1.2.02-0706;23101.23751.090523.1.2.02-0706
11839.51887.210623.1.7.02-7856;Decl. Compensação;21/06/2023;Análise concluída;474.232,31;362.832,53;65.030,39;;23101.23751.090523.1.2.02-0706;23101.23751.090523.1.2.02-0706
19949.78979.210623.1.3.02-0145;Decl. Compensação;21/06/2023;Análise concluída;474.232,31;297.802,14;297.802,14;;23101.23751.090523.1.2.02-0706;23101.23751.090523.1.2.02-0706
18564.55331.200723.1.2.03-3960;Pedido Restituição;20/07/2023;Análise concluída;147.137,57;147.137,57;147.137,57;;;18564.55331.200723.1.2.03-3960
11326.28337.190923.1.3.03-0166;Decl. Compensação;19/09/2023;Análise concluída;147.137,57;147.137,57;118.819,78;;18564.55331.200723.1.2.03-3960;18564.55331.200723.1.2.03-3960
32030.46852.190224.1.3.03-2078;Decl. Compensação;19/02/2024;Análise concluída;147.137,57;28.317,79;28.317,79;;18564.55331.200723.1.2.03-3960;18564.55331.200723.1.2.03-3960
15651.80120.200723.1.2.02-5576;Pedido Restituição;20/07/2023;Retificado;761.379,18;761.379,18;761.379,18;04571.91370.171024.1.6.02-2311;;15651.80120.200723.1.2.02-5576
04571.91370.171024.1.6.02-2311;Pedido Restituição;17/10/2024;Em análise;763.275,13;763.275,13;763.275,13;;;15651.80120.200723.1.2.02-5576
03373.19333.200723.1.3.02-0209;Decl. Compensação;20/07/2023;Em análise;761.379,18;761.379,18;100.710,66;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
14483.07918.200723.1.3.02-0043;Decl. Compensação;20/07/2023;Em análise;761.379,18;660.668,52;67.124,67;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
38125.54532.170823.1.3.02-9747;Decl. Compensação;17/08/2023;Em análise;761.379,18;593.543,85;131.220,11;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
29658.99997.170823.1.3.02-3774;Decl. Compensação;17/08/2023;Em análise;761.379,18;462.323,74;243.184,18;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
39354.99807.190923.1.3.02-9409;Decl. Compensação;19/09/2023;Em análise;761.379,18;219.139,56;143.120,25;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
08710.15982.061023.1.3.02-6020;Decl. Compensação;06/10/2023;Em análise;761.379,18;76.019,31;81,65;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
13176.03810.201023.1.3.02-0297;Decl. Compensação;20/10/2023;Em análise;761.379,18;75.937,66;73.498,04;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
05925.59439.100124.1.3.02-5738;Decl. Compensação;10/01/2024;Em análise;761.379,18;2.439,62;31,14;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
18085.12456.190224.1.3.02-0698;Decl. Compensação;19/02/2024;Em análise;761.379,18;2.408,48;2.408,48;;15651.80120.200723.1.2.02-5576;15651.80120.200723.1.2.02-5576
38512.89084.140823.1.2.15-4108;Pedido Restituição;14/08/2023;Em análise;39.308,20;39.308,20;39.308,20;;;38512.89084.140823.1.2.15-4108
00867.61752.190224.1.3.15-8580;Decl. Compensação;19/02/2024;Em análise;39.308,20;39.308,20;39.308,20;;38512.89084.140823.1.2.15-4108;38512.89084.140823.1.2.15-4108
14715.13903.201023.1.2.03-8566;Pedido Restituição;20/10/2023;Análise concluída;133.667,56;133.667,56;133.667,56;;;14715.13903.201023.1.2.03-8566
13134.31587.181223.1.3.03-4348;Decl. Compensação;18/12/2023;Análise concluída;133.667,56;133.667,56;133.611,99;;14715.13903.201023.1.2.03-8566;14715.13903.201023.1.2.03-8566
21631.93668.181223.1.3.03-1437;Decl. Compensação;18/12/2023;Análise concluída;133.667,56;55,57;55,57;;14715.13903.201023.1.2.03-8566;14715.13903.201023.1.2.03-8566
19317.90156.201023.1.2.02-9873;Pedido Restituição;20/10/2023;Retificado;598.444,07;598.444,07;598.444,07;41076.58606.251023.1.6.02-3048;;19317.90156.201023.1.2.02-9873
41076.58606.251023.1.6.02-3048;Pedido Restituição;25/10/2023;Análise concluída;611.620,44;611.620,44;611.620,44;;;19317.90156.201023.1.2.02-9873
42618.03460.201023.1.3.02-5063;Decl. Compensação;20/10/2023;Retificado;598.444,07;598.444,07;55.202,35;26620.44711.061123.1.7.02-1507;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
26620.44711.061123.1.7.02-1507;Decl. Compensação;06/11/2023;Análise concluída;611.620,44;611.620,44;55.202,35;;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
19601.38617.201023.1.3.02-7150;Decl. Compensação;20/10/2023;Retificado;598.444,07;543.241,72;104.926,61;41157.02019.061123.1.7.02-1155;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
41157.02019.061123.1.7.02-1155;Decl. Compensação;06/11/2023;Análise concluída;611.620,44;556.418,09;104.926,61;;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
06769.47629.171123.1.3.02-5896;Decl. Compensação;17/11/2023;Análise concluída;611.620,44;451.491,48;209.049,45;;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
42930.06994.171123.1.3.02-0577;Decl. Compensação;17/11/2023;Análise concluída;611.620,44;242.442,03;118.216,14;;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
18598.57825.181223.1.3.02-4261;Decl. Compensação;18/12/2023;Retificado;611.620,44;124.255,89;105.383,23;14303.54393.100124.1.7.02-1150;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
14303.54393.100124.1.7.02-1150;Decl. Compensação;10/01/2024;Análise concluída;611.620,44;124.225,89;105.383,23;;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
19548.35027.181223.1.3.02-4502;Decl. Compensação;18/12/2023;Retificado;611.620,44;18.872,66;18.872,66;03451.20239.100124.1.7.02-8890;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
03451.20239.100124.1.7.02-8890;Decl. Compensação;10/01/2024;Análise concluída;611.620,44;18.842,66;18.842,66;;19317.90156.201023.1.2.02-9873;19317.90156.201023.1.2.02-9873
03920.45414.170124.1.2.02-9042;Pedido Restituição;17/01/2024;Retificado;1.170.474,59;1.170.474,59;1.170.474,59;22712.22743.180124.1.6.02-3169;;03920.45414.170124.1.2.02-9042
22712.22743.180124.1.6.02-3169;Pedido Restituição;18/01/2024;Retificado;983.633,26;983.633,26;983.633,26;01952.38403.290124.1.6.02-4248;;03920.45414.170124.1.2.02-9042
01952.38403.290124.1.6.02-4248;Pedido Restituição;29/01/2024;Retificado;1.028.719,03;1.028.719,03;1.028.719,03;06946.00325.020224.1.6.02-4274;;03920.45414.170124.1.2.02-9042
06946.00325.020224.1.6.02-4274;Pedido Restituição;02/02/2024;Retificado;1.028.719,03;1.028.719,03;1.028.719,03;40228.50461.171024.1.6.02-9060;;03920.45414.170124.1.2.02-9042
40228.50461.171024.1.6.02-9060;Pedido Restituição;17/10/2024;Retificado;1.175.514,21;1.175.514,21;1.175.514,21;39676.17831.181024.1.6.02-2835;;03920.45414.170124.1.2.02-9042
39676.17831.181024.1.6.02-2835;Pedido Restituição;18/10/2024;Em análise;1.152.724,28;1.152.724,28;1.152.724,28;;;03920.45414.170124.1.2.02-9042
33379.34066.180124.1.3.02-3110;Decl. Compensação;18/01/2024;Retificado;1.170.474,59;1.170.474,59;547.708,05;06935.48702.050224.1.7.02-6297;03920.45414.170124.1.2.02-9042;03920.45414.170124.1.2.02-9042
06935.48702.050224.1.7.02-6297;Decl. Compensação;05/02/2024;Em análise;1.028.719,03;1.028.719,03;547.708,05;;03920.45414.170124.1.2.02-9042;03920.45414.170124.1.2.02-9042
16234.85654.160224.1.3.02-5251;Decl. Compensação;16/02/2024;Em análise;1.028.719,03;481.010,98;295.191,53;;03920.45414.170124.1.2.02-9042;03920.45414.170124.1.2.02-9042
33965.61947.180324.1.3.02-5530;Decl. Compensação;18/03/2024;Em análise;1.028.719,03;185.819,45;185.819,45;;03920.45414.170124.1.2.02-9042;03920.45414.170124.1.2.02-9042
14853.40697.180124.1.2.03-0715;Pedido Restituição;18/01/2024;Retificado;96.203,93;96.203,93;96.203,93;28876.47413.290124.1.6.03-0510;;14853.40697.180124.1.2.03-0715
28876.47413.290124.1.6.03-0510;Pedido Restituição;29/01/2024;Retificado;117.287,11;117.287,11;117.287,11;05748.61655.020224.1.6.03-3848;;14853.40697.180124.1.2.03-0715
05748.61655.020224.1.6.03-3848;Pedido Restituição;02/02/2024;Retificado;117.287,11;117.287,11;117.287,11;13933.72753.280224.1.6.03-7206;;14853.40697.180124.1.2.03-0715
13933.72753.280224.1.6.03-7206;Pedido Restituição;28/02/2024;Retificado;117.287,11;117.287,11;117.287,11;19457.14307.171024.1.6.03-1392;;14853.40697.180124.1.2.03-0715
19457.14307.171024.1.6.03-1392;Pedido Restituição;17/10/2024;Retificado;173.645,99;173.645,99;173.645,99;33197.41052.181024.1.6.03-6291;;14853.40697.180124.1.2.03-0715
33197.41052.181024.1.6.03-6291;Pedido Restituição;18/10/2024;Análise concluída;163.026,75;163.026,75;163.026,75;;;14853.40697.180124.1.2.03-0715
32472.13362.180324.1.3.03-3912;Decl. Compensação;18/03/2024;Em análise;117.287,11;117.287,11;117.287,11;;14853.40697.180124.1.2.03-0715;14853.40697.180124.1.2.03-0715
12383.48187.251124.1.3.03-7700;Decl. Compensação;25/11/2024;Em análise;163.026,75;45.739,64;19.587,51;;14853.40697.180124.1.2.03-0715;14853.40697.180124.1.2.03-0715
24213.30578.251124.1.3.03-8881;Decl. Compensação;25/11/2024;Em análise;163.026,75;26.152,13;8.981,82;;14853.40697.180124.1.2.03-0715;14853.40697.180124.1.2.03-0715
23746.49639.110324.1.2.04-7900;Pedido Restituição;11/03/2024;PER deferido;64,48;64,48;64,48;;;23746.49639.110324.1.2.04-7900
38481.52752.110324.1.2.04-2967;Pedido Restituição;11/03/2024;PER deferido;199,90;199,90;199,90;;;38481.52752.110324.1.2.04-2967
35983.69222.170424.1.2.03-3048;Pedido Restituição;17/04/2024;Em análise;106.173,62;106.173,62;106.173,62;;;35983.69222.170424.1.2.03-3048
20647.72821.200524.1.3.03-0042;Decl. Compensação;20/05/2024;Em análise;106.173,62;106.173,62;106.173,62;;35983.69222.170424.1.2.03-3048;35983.69222.170424.1.2.03-3048
33314.74811.190424.1.2.02-0235;Pedido Restituição;19/04/2024;Retificado;907.744,03;907.744,03;907.744,03;24324.56182.130624.1.6.02-0094;;33314.74811.190424.1.2.02-0235
24324.56182.130624.1.6.02-0094;Pedido Restituição;13/06/2024;Em análise;908.369,28;908.369,28;908.369,28;;;33314.74811.190424.1.2.02-0235
13166.45016.190424.1.3.02-5554;Decl. Compensação;19/04/2024;Em análise;907.744,03;907.744,03;243.947,60;;33314.74811.190424.1.2.02-0235;33314.74811.190424.1.2.02-0235
07217.77353.130524.1.3.02-0947;Decl. Compensação;13/05/2024;Em análise;907.744,03;663.796,43;42.556,09;;33314.74811.190424.1.2.02-0235;33314.74811.190424.1.2.02-0235
42631.55093.200524.1.3.02-0064;Decl. Compensação;20/05/2024;Retificado;907.744,03;621.240,34;621.240,33;36506.17518.190624.1.7.02-0090;33314.74811.190424.1.2.02-0235;33314.74811.190424.1.2.02-0235
